season,month,airport_a,airport_b,risk_score,reason,cascade_cost
Spring (Mar-May),5,XNA,IAD,66.04806359978728,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,LGA,GRK,66.04208964524817,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MCO,MCI,66.04096703476351,correlated weather delays; tight turnaround / missed connection risk,
Winter (Dec-Feb),1,OKC,XNA,66.03036936554051,elevated composite risk,
Spring (Mar-May),5,DCA,ICT,66.02379364515416,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,PHX,BHM,66.02344080426224,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,DCA,XNA,66.022856034802,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,DEN,SAN,66.01918518182386,duty time violation risk,
Spring (Mar-May),5,XNA,MFE,66.01689155282617,correlated weather delays,
Spring (Mar-May),5,SEA,SAN,66.0153414380963,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,ATL,SAN,66.01522001452821,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SHV,SMF,66.014678762582,correlated weather delays,
Spring (Mar-May),5,DTW,LIT,66.011964017973,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,LIT,TPA,65.98677109678329,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,SAN,CRP,65.9816431058345,correlated weather delays; tight turnaround / missed connection risk,
Winter (Dec-Feb),1,DCA,XNA,65.97528387249525,tight turnaround / missed connection risk,10350.0
Spring (Mar-May),5,XNA,SMF,65.97013450146304,correlated weather delays,
Winter (Dec-Feb),1,ORD,SGF,65.95294320394497,correlated weather delays; tight turnaround / missed connection risk,17700.0
Winter (Dec-Feb),12,LGA,AUS,65.9415181488659,tight turnaround / missed connection risk,
Spring (Mar-May),5,MSY,BHM,65.93941120168246,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,DCA,BTR,65.9329824154016,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SGF,HRL,65.92787396535567,correlated weather delays,
Spring (Mar-May),5,LAX,BNA,65.92581140043201,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,LIT,HSV,65.91989904780857,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,AUS,BNA,65.9149896427747,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,BNA,LIT,65.91341496131055,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,IAH,IAD,65.91044274155698,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,LAX,SGF,65.90882647502822,correlated weather delays; tight turnaround / missed connection risk,25350.0
Spring (Mar-May),5,ELP,SAF,65.90717481156676,correlated weather delays,20925.0
Spring (Mar-May),5,LAS,SGF,65.90013412046557,correlated weather delays,40575.0
Winter (Dec-Feb),12,IAH,AUS,65.87621035631867,tight turnaround / missed connection risk,
Spring (Mar-May),5,GRK,CHA,65.86304969506442,correlated weather delays; tight turnaround / missed connection risk,
Summer (Jun-Aug),6,LAS,LIT,65.8536615536981,correlated weather delays; tight turnaround / missed connection risk,
Winter (Dec-Feb),12,SAT,SFO,65.85146489703322,correlated weather delays,10950.0
Winter (Dec-Feb),1,DEN,XNA,65.83255691489941,correlated weather delays; duty time violation risk,
Spring (Mar-May),5,MCI,TYS,65.82051609070628,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,SGF,FAT,65.82049867546185,correlated weather delays,
Spring (Mar-May),5,LBB,TYS,65.81737117125904,correlated weather delays; tight turnaround / missed connection risk,
Spring (Mar-May),5,GRK,FAT,65.81577890800986,correlated weather delays,
Spring (Mar-May),5,CLT,ONT,65.8151860409868,correlated weather delays; duty time violation risk,
Winter (Dec-Feb),12,LAS,SEA,65.8111942789019,duty time violation risk,
Spring (Mar-May),5,GRK,SMF,65.78683374008565,correlated weather delays,
Summer (Jun-Aug),6,ATL,EWR,65.78606582724328,duty time violation risk,
Summer (Jun-Aug),7,CLT,LIT,65.77693818363248,correlated weather delays; tight turnaround / missed connection risk,
