season,avoid_origin,avoid_dest,avoid_risk,swap_dest,swap_risk,risk_reduction
Fall (Sep-Nov),ATL,ORD,66.32730837190537,HRL,16.85974433975049,49.46756403215488
Fall (Sep-Nov),AUS,MIA,65.19683251137607,HRL,16.139982170157932,49.05685034121814
Summer (Jun-Aug),LAS,PHX,74.56614383752218,HRL,25.515542986620186,49.050600850901986
Summer (Jun-Aug),IAH,AUS,75.62521182732476,HRL,26.741992567668415,48.88321925965634
Summer (Jun-Aug),LAX,PHX,76.98940843451506,HRL,28.312126782198675,48.67728165231638
Fall (Sep-Nov),LAX,ORD,68.69537570878181,HRL,20.041738976089583,48.65363673269223
Winter (Dec-Feb),MCO,SAN,71.76423073980078,HRL,23.14847864335496,48.61575209644582
Winter (Dec-Feb),SGF,STL,72.46096315831151,LRD,23.875921166090272,48.58504199222124
Summer (Jun-Aug),SEA,MIA,75.07758895549198,HRL,26.60627669577324,48.47131225971874
Summer (Jun-Aug),LGA,DEN,72.51659365869087,HRL,24.059468258858654,48.45712539983221
Summer (Jun-Aug),LAX,SEA,76.4379204108635,HRL,28.312126782198675,48.12579362866482
Winter (Dec-Feb),EWR,SAN,76.06546754164927,HRL,27.958741452562744,48.10672608908652
Winter (Dec-Feb),LIT,LFT,70.18058205840074,LRD,22.183909803603612,47.99667225479713
Summer (Jun-Aug),LGA,AUS,72.02080298780852,HRL,24.059468258858654,47.961334728949865
Summer (Jun-Aug),PHX,MIA,74.81437881273538,HRL,26.911666036713456,47.90271277602193
Winter (Dec-Feb),BOS,SAN,73.09106030838326,HRL,25.188871798214496,47.90218851016877
Winter (Dec-Feb),ORD,LGA,71.92544270257733,HRL,24.043950994178868,47.88149170839846
Winter (Dec-Feb),XNA,BTR,72.91068922925388,LRD,25.092072709465604,47.81861651978827
Summer (Jun-Aug),IAH,MIA,74.55075999522946,HRL,26.741992567668415,47.80876742756104
Summer (Jun-Aug),IAH,LIT,74.49314926568942,HRL,26.741992567668415,47.751156698021006
Summer (Jun-Aug),ATL,FLL,70.09524314382158,HRL,22.45479028868943,47.640452855132146
Summer (Jun-Aug),DEN,CLT,70.54111819444786,HRL,23.051048285131216,47.490069909316645
Summer (Jun-Aug),IAH,PHX,74.22562551393787,HRL,26.741992567668415,47.48363294626945
Summer (Jun-Aug),AUS,SEA,73.18633643892323,HRL,25.718098346147563,47.46823809277567
Winter (Dec-Feb),LAX,LAS,75.4285636072867,HRL,27.963635361808272,47.46492824547843
Winter (Dec-Feb),CLT,XNA,70.41663167329463,SAF,23.075069546309557,47.341562126985075
Summer (Jun-Aug),ATL,BOS,69.75675222906675,HRL,22.45479028868943,47.30196194037732
Summer (Jun-Aug),DEN,TPA,70.3500097951571,HRL,23.051048285131216,47.29896151002589
Summer (Jun-Aug),ATL,MSY,72.75458803544171,HRL,25.561798069651203,47.19278996579051
Summer (Jun-Aug),ORD,AUS,72.15695371851689,HRL,25.390833356155145,46.76612036236175
Winter (Dec-Feb),SGF,BTR,70.35064816612473,LRD,23.875921166090272,46.474727000034456
Summer (Jun-Aug),ATL,SLC,68.85391810258814,HRL,22.45479028868943,46.39912781389871
Summer (Jun-Aug),MIA,TPA,74.74180069852208,HRL,28.52465206318216,46.217148635339925
Winter (Dec-Feb),LAX,MCO,74.17443102444498,HRL,27.963635361808272,46.21079566263671
Winter (Dec-Feb),SFO,SAN,72.66424817811632,HRL,26.461059022142337,46.20318915597399
Summer (Jun-Aug),LGA,SEA,70.2537301544856,HRL,24.059468258858654,46.19426189562694
Summer (Jun-Aug),LGA,LAS,67.17368316365469,HRL,20.985023837865395,46.18865932578929
Summer (Jun-Aug),IAH,SAT,72.92927025794184,HRL,26.741992567668415,46.18727769027342
Summer (Jun-Aug),LIT,LFT,74.07132152793676,HRL,27.94640506488612,46.12491646305064
Winter (Dec-Feb),DEN,XNA,65.83255691489941,LRD,19.74494699248371,46.0876099224157
Summer (Jun-Aug),LAX,FLL,74.13435688285244,HRL,28.312126782198675,45.82223010065377
Summer (Jun-Aug),AUS,SAN,71.31339568056863,HRL,25.718098346147563,45.59529733442107
Summer (Jun-Aug),MCO,SAT,75.56884494034745,HRL,29.994349102491487,45.57449583785596
Winter (Dec-Feb),LAX,AUS,73.45466790488834,HRL,27.963635361808272,45.49103254308007
Summer (Jun-Aug),LAX,CLT,67.47978775043255,HRL,21.999386585575404,45.48040116485714
Summer (Jun-Aug),ORD,MIA,70.8678529182587,HRL,25.390833356155145,45.477019562103564
Summer (Jun-Aug),DEN,SAT,68.45908083568254,HRL,23.051048285131216,45.408032550551326
Summer (Jun-Aug),ATL,TPA,70.9512178538058,HRL,25.561798069651203,45.3894197841546
Summer (Jun-Aug),LGA,IAH,69.41117286771181,HRL,24.059468258858654,45.351704608853154
Summer (Jun-Aug),ATL,SAT,67.77905464916718,HRL,22.45479028868943,45.32426436047775
Summer (Jun-Aug),DEN,SLC,68.36870850404772,HRL,23.051048285131216,45.3176602189165
Summer (Jun-Aug),LAS,FLL,70.61775458607283,HRL,25.515542986620186,45.102211599452644
Summer (Jun-Aug),ORD,PHX,70.4759629441326,HRL,25.390833356155145,45.08512958797746
Winter (Dec-Feb),MCO,LIT,68.20982061023314,HRL,23.14847864335496,45.061341966878175
Summer (Jun-Aug),LAX,LGA,73.34446371545025,HRL,28.312126782198675,45.03233693325157
Winter (Dec-Feb),ORD,SAN,69.07377857660668,HRL,24.043950994178868,45.029827582427814
Summer (Jun-Aug),AUS,TPA,70.6868866431075,HRL,25.718098346147563,44.968788296959936
Winter (Dec-Feb),PHX,MCO,72.00065547923411,HRL,27.108124252869185,44.89253122636492
Winter (Dec-Feb),ORD,SGF,65.95294320394497,LRD,21.06900334197536,44.88393986196961
Summer (Jun-Aug),LGA,MIA,68.93478521834065,HRL,24.059468258858654,44.87531695948199
Summer (Jun-Aug),FLL,TPA,71.21057606688368,HRL,26.338493728007407,44.87208233887627
Summer (Jun-Aug),MCO,MSY,70.03718799458078,HRL,25.178970480390092,44.858217514190684
Winter (Dec-Feb),DCA,XNA,65.97528387249525,LRD,21.124193337436395,44.85109053505886
Summer (Jun-Aug),PHX,CLT,71.75092908133371,HRL,26.911666036713456,44.83926304462025
Summer (Jun-Aug),LAX,SAT,72.99649115178315,HRL,28.312126782198675,44.68436436958447
Winter (Dec-Feb),OKC,XNA,66.03036936554051,SAF,21.429483581838518,44.60088578370199
Summer (Jun-Aug),ORD,FLL,69.88089183776393,HRL,25.390833356155145,44.490058481608784
Winter (Dec-Feb),SEA,SAN,69.03725317507644,HRL,24.56433225140577,44.47292092367067
Winter (Dec-Feb),CLT,SAN,69.56206020121179,HRL,25.13352069995127,44.42853950126052
Winter (Dec-Feb),LIT,BTR,66.55317545791897,LRD,22.183909803603612,44.369265654315356
Summer (Jun-Aug),AUS,LIT,70.07811028607388,HRL,25.718098346147563,44.360011939926316
Winter (Dec-Feb),STL,LFT,67.30472896214584,LRD,22.94908552687287,44.355643435272974
